Filename,Phonetics
00d7aa0a45ef43728d7413e7c5bb0856.pcm,a
01c2781699d847c197a04964a89cdbcb.pcm,a
10e0c43fab474812a9ba9c8a048a07a7.pcm,a
2413da6fe2de403c9c5b0c8551eac1a4.pcm,a
262cb1212f3e4f47b4dd4e6e0c3ab5cf.pcm,a
266ebbb0014a49db8af85378fb40779a.pcm,a
2a9f535f035a46149b385add5cee3167.pcm,a
2b3ed39bbd1e4982bf1755f6d4a0c5cf.pcm,a
378e6419a0c54b47805f2f112076c007.pcm,a
3ce434e50b2f4423b7d0936186695e1c.pcm,a
3dd3de118cc64067a2e45b26131c93b2.pcm,a
454ddf6ed1c44a75ba855891ebbec3d6.pcm,a
473cbc2487a34cbebef971adaae42e92.pcm,a
485e993e6ed543bcb0f9f173a2d5a96d.pcm,a
5880d26cafdf4a349b0481ad0effde33.pcm,a
5a4c27b5614d4e2485198cd2359c1700.pcm,a
70831ea3177a43e3b5c9f51e209eefe7.pcm,a
7562c93d37fa44cb9ad261c79809c035.pcm,a
770c28aa0adb4633ada703aba37b1ae8.pcm,a
777afc13a55545239de5a092a0b78fcc.pcm,a
78473a077df94372869d79fdc4562427.pcm,a
7d1eea1eee8142769b7a276e9d82232e.pcm,a
7d44c1315cd141178cb278cceb74e9aa.pcm,a
8047ee43a4fb451a9e47e87aeebfadf9.pcm,a
805ad9b0481e4a5782e9ac3ccf5d6aa8.pcm,a
817116ca8e664ed99447db760205c0ed.pcm,a
8324dbd88e5f4a26bb2651e1c3003460.pcm,a
83fffa7610e64be2b4813c17e1972071.pcm,a
89e19408862a40599883ee0d99ce5148.pcm,a
8d9770c4a0f547fd8c421168af23e4d2.pcm,a
8fc554029ce94885b8ea0371cbff7725.pcm,a
9d5433d6c47d4cd2991721e147c66cfc.pcm,a
a7958ec34e13491b90cf0a6dd190625e.pcm,a
a820c778a59b4641a99521b6d573382e.pcm,a
af7c7c20872e499795bf374f4fe3d003.pcm,a
b7b8a247c9534aa68183781d9bc7b199.pcm,a
b7eef1bc1a854ccb9caf082fd02b32a1.pcm,a
b8817a838d6949fb94305b59adb9bdf4.pcm,a
bab5fdcef93d4d0685c86171d1b41e88.pcm,a
c18c20645aa049ada58c6cd72e78d4b7.pcm,a
c8da830679674851a25e9cbe65ba98ec.pcm,a
d198bca3558442b6872ebdd2077adc75.pcm,a
d47db074c174400c9660c8f11fdf4202.pcm,a
dc0cf8c45d174822bf366b3c165324a6.pcm,a
e004996d6a4a4a85a6111866a50c4ac4.pcm,a
ebfefaa1de134d10a574eada3c662a7b.pcm,a
ec14e30ed585422c8a058036c1bc4475.pcm,a
edc2e1853e9a43b2b6f776fbb3308666.pcm,a
fa2ed624b6be4c09a2c81530957203e2.pcm,a
ff0dd20a07144c7eb51ac23e48a4f038.pcm,a
06e6e37646ed4884a5fad1cec46a7ea5.pcm,ba
08d8e383eb624d8eb3e5d4436265ceb7.pcm,ba
0e288e89fda34e6a8ae2a001c5a8031f.pcm,ba
1eb846d4ead340039f05228bfc1e0ea0.pcm,ba
29b102c00cda4c2abcc6bd76b634394d.pcm,ba
